problem,seed,Default_time,Default_nodes,DF-Probing_time,DF-Probing_nodes,GDF_time,GDF_nodes,All_time,All_nodes
30n20b8,1,465.43,4754,462.34,4754,460.98,4754,462.88,4754
30n20b8,2,628.22,3539,634.77,3539,635.25,3539,630.09,3539
30n20b8,3,482.36,4084,478.84,4084,477.82,4084,481.02,4084
30n20b8,4,491.6,3621,483.32,3621,488.01,3621,490.42,3621
30n20b8,5,971.82,5498,959.1,5498,974.25,5498,970.25,5498
50v-10,1,7200,331515,7200,328868,7200,316696,7200,320121
50v-10,2,7200,356042,7200,353395,7200,342237,7200,352232
50v-10,3,7200,329061,7200,317297,7200,329356,7200,332375
50v-10,4,7200,275439,7200,272244,7200,272451,7200,274116
50v-10,5,7200,318900,7200,338221,7200,309343,7200,310460
CMS750_4,1,1501.85,44274,1506.56,44274,1502.19,44274,1506.69,44274
CMS750_4,2,1562.42,48155,1608.32,51718,1559.65,48155,1617.89,51718
CMS750_4,3,1561.7,35776,1578.82,35776,1558.01,35776,1576.81,35776
CMS750_4,4,1593.02,53486,1666.88,60636,1569.6,53486,1641.49,60636
CMS750_4,5,1375.53,43450,1365.86,43450,1356.13,43450,1363.15,43450
academictimetablesmall,1,7200,8624,2571.27,3396,7200,8624,3899.61,5891
academictimetablesmall,2,6903.74,10637,6708.62,10839,6690.26,10637,6679.43,10839
academictimetablesmall,3,3249.09,4126,6024.65,9881,3255.11,4126,6109.54,9881
academictimetablesmall,4,7200,8919,7200,8120,7200,8919,7200,7875
academictimetablesmall,5,5536.55,8741,4952.93,6457,7200,11269,5082.98,6457
air05,1,39.91,39,38.84,39,38.87,39,39.18,39
air05,2,31.83,48,32.22,48,31.77,48,31.96,48
air05,3,38.72,26,38.24,26,38.61,26,38.63,26
air05,4,36.72,55,36.86,55,36.81,55,36.98,55
air05,5,35.11,31,35.18,31,35.14,31,35.11,31
app1-1,1,24.64,3169,24.78,3169,25.74,3169,24.68,3169
app1-1,2,30.06,5367,31.07,5367,30.21,5367,30.75,5367
app1-1,3,27.21,3920,26.57,3920,27.73,3920,27.54,3920
app1-1,4,29.11,3275,28.68,3275,28.37,3275,28.78,3275
app1-1,5,36.09,5921,35.47,5921,36.15,5921,36.13,5921
app1-2,1,2638.41,46548,2611.99,46548,2639.92,46548,2647.25,46548
app1-2,2,2672.05,50557,2680.11,50557,2663.42,50557,2673.84,50557
app1-2,3,2767.08,48562,2766.92,48562,2722.85,48562,2623.96,48562
app1-2,4,3039.08,56145,3023.87,56145,2903.47,56145,2946.34,56145
app1-2,5,4769.2,82724,4762.98,82724,4806.29,82724,4669.28,82724
assign1-5-8,1,7200,3719686,7200,3619071,7200,4099397,7200,3804067
assign1-5-8,2,7200,3672240,7200,3703584,7200,3935240,7200,3730270
assign1-5-8,3,7200,3540432,7200,3620765,7200,3726459,7200,3742649
assign1-5-8,4,7200,3851226,7200,4088301,7200,3801845,7200,3748975
assign1-5-8,5,7200,3716133,7200,3782419,7200,3648675,7200,3673843
atlanta-ip,1,7200,11588,7200,9648,7200,11914,7200,9485
atlanta-ip,2,6512.95,7437,7200,11116,6514.47,7437,7200,11127
atlanta-ip,3,7200,8897,7200,11681,7200,9015,7200,11837
atlanta-ip,4,7200,11032,7200,8822,7200,11085,7200,8641
atlanta-ip,5,7200,10700,5940.51,6823,7200,10556,5990.52,6823
b1c1s1,1,7200,123263,7200,122190,7200,122316,7200,123217
b1c1s1,2,7200,122597,7200,122539,7200,122307,7200,122699
b1c1s1,3,7200,115838,7200,115598,7200,116074,7200,115845
b1c1s1,4,7200,122047,7200,122593,7200,121840,7200,122722
b1c1s1,5,7200,116575,7200,116246,7200,115903,7200,116469
bab2,1,7200,3284,7200,2748,7200,3284,7200,2652
bab2,2,7200,2664,7200,2793,7200,2765,7200,2891
bab2,3,7200,2095,7200,1753,7200,2070,7200,1753
bab2,4,7200,1972,7200,2422,7200,1971,7200,2440
bab2,5,7200,1919,7200,2304,7200,1883,7200,2286
bab6,1,7200,4657,7200,3588,7200,4607,7200,3568
bab6,2,7200,4604,7200,4948,7200,4614,7200,5100
bab6,3,7200,4741,7200,5600,7200,4680,7200,5459
bab6,4,7200,3619,7200,4273,7200,3823,7200,4375
bab6,5,7200,5247,7200,4997,7200,5287,7200,4940
beasleyC3,1,20.69,241,21.09,241,21.1,241,20.64,241
beasleyC3,2,32.29,699,32.17,699,32.29,699,32.47,699
beasleyC3,3,24.75,209,24.8,209,24.79,209,24.9,209
beasleyC3,4,29.2,604,29.1,604,29.19,604,29.29,604
beasleyC3,5,30.69,462,30.67,462,30.52,462,30.89,462
binkar10_1,1,40.31,4602,40.6,4602,39.38,4602,39.66,4602
binkar10_1,2,65.81,7400,67.71,7400,68.25,7400,67.12,7400
binkar10_1,3,41.66,4440,40.78,4440,41.09,4440,40.87,4440
binkar10_1,4,37.3,4148,35.12,4148,35.15,4148,34.97,4148
binkar10_1,5,30.03,3338,30.2,3338,32.55,3338,31.39,3338
blp-ar98,2,3725.57,27873,4038.37,27873,3800.27,27873,3771.05,27873
blp-ar98,3,3779.9,34626,3811.53,38438,3744.82,34626,3877.41,38438
blp-ar98,4,4087.29,34323,4345.78,32941,3984.02,34323,4435.52,32941
blp-ar98,5,4038.98,32754,4666.19,40029,3926.66,32754,4584.63,40029
blp-ic98,1,508.06,6717,574.16,7780,507.2,6717,575.04,7780
blp-ic98,2,675.8,938,675.85,938,672.52,938,675.73,938
blp-ic98,3,649.94,10381,647.45,10381,647.16,10381,655.56,10381
blp-ic98,4,1107.14,2588,1111.25,2588,1109.05,2588,1110.62,2588
blp-ic98,5,387.35,4104,382.31,4104,377,4104,382.83,4104
bnatt400,1,1740.84,36004,1737.18,36004,1733.05,36004,1743.89,36004
bnatt400,2,1024.9,22209,1022.1,22209,1031.21,22209,1030.67,22209
bnatt400,3,1370.08,28956,1405.15,28956,1417.24,28956,1383.2,28956
bnatt400,4,1332.01,29839,1410.08,29839,1412.11,29839,1335,29839
bnatt400,5,1408.55,28911,1396.32,28911,1410.03,28911,1405.17,28911
bnatt500,1,7080.2,95043,7108.8,95043,7171.8,95043,7099.45,95043
bnatt500,2,7200,96511,7200,96889,7200,96407,7200,95181
bnatt500,3,7200,106330,7200,105157,7200,105788,7200,105101
bnatt500,4,7200,98485,7200,99788,7200,99835,7200,98534
bnatt500,5,7200,97548,7200,97631,7200,97571,7200,96635
bppc4-08,1,7200,589679,7200,590408,7200,593002,7200,587208
bppc4-08,2,7200,629880,7200,625718,7200,629607,7200,629535
bppc4-08,3,7200,570694,7200,566908,7200,574653,7200,570251
bppc4-08,4,7200,580428,7200,585997,7200,588497,7200,584239
bppc4-08,5,7200,585634,7200,583916,7200,577086,7200,582513
brazil3,1,2975.09,2667,4204.03,4549,2981.82,2667,4191.98,4549
brazil3,2,2651.03,2583,2941.39,2573,2652.82,2583,2948.93,2573
brazil3,3,4642.74,5266,3952.82,4156,4672.22,5266,3945.43,4156
brazil3,4,2737.52,3278,1947.14,2623,2733.81,3278,1953.89,2623
brazil3,5,2091.14,2583,1625.96,1917,2109.13,2583,1628.64,1917
buildingenergy,1,7200,5117,7200,10040,7200,8276,7200,6892
buildingenergy,2,7200,1419,7200,1538,7200,1686,7200,1572
buildingenergy,3,7200,3965,7200,3966,7200,3965,7200,3975
buildingenergy,4,7200,5254,7200,5253,7200,5254,7200,5254
buildingenergy,5,7200,3462,7200,3350,7200,3462,7200,3392
cbs-cta,1,52.6,1494,52.51,1494,52.56,1494,52.62,1494
cbs-cta,2,301.63,4277,304.43,4277,314.46,4277,304.69,4277
cbs-cta,3,119.7,2953,116.14,2953,119.7,2953,118.05,2953
cbs-cta,4,86.06,1878,85.89,1878,86.12,1878,86,1878
cbs-cta,5,89.78,1606,88.74,1606,89.77,1606,88.76,1606
chromaticindex1024-7,1,7200,3293,7200,3293,7200,3293,7200,3293
chromaticindex1024-7,2,7200,1464,7200,1938,7200,1998,7200,1998
chromaticindex1024-7,3,7200,0,7200,246,7200,0,7200,101
chromaticindex1024-7,4,7200,0,7200,0,7200,0,7200,0
chromaticindex1024-7,5,7200,3681,7200,4176,7200,4176,7200,3911
chromaticindex512-7,1,2733.18,3206,2709.13,3206,2710.23,3206,2712.65,3206
chromaticindex512-7,2,7200,18795,7200,18402,7200,18454,7200,18451
chromaticindex512-7,3,4141.69,10838,4143.37,10838,4060.41,10838,4051.5,10838
chromaticindex512-7,4,1453.35,284,1472.16,284,1442.27,284,1487.2,284
chromaticindex512-7,5,2096.04,162,2108.61,162,2112.82,162,2077.5,162
cmflsp50-24-8-8,1,7200,58411,7200,58121,7200,58029,7200,58315
cmflsp50-24-8-8,2,7200,52905,7200,52259,7200,52222,7200,51807
cmflsp50-24-8-8,3,7200,55729,7200,55880,7200,55864,7200,54836
cmflsp50-24-8-8,4,7200,48606,7200,48881,7200,49277,7200,49292
cmflsp50-24-8-8,5,7200,55945,7200,55475,7200,55886,7200,55870
co-100,1,7200,27353,7117.02,27354,7200,27196,7188.31,27354
co-100,2,6565.91,29860,6554.4,29860,6524.51,29860,6534.11,29860
co-100,3,7200,40848,7200,40444,7200,40820,7200,41105
co-100,4,7200,23261,7200,22849,7200,22651,7200,22691
co-100,5,7200,35835,7200,35641,7200,34847,7200,34053
cod105,1,187.02,455,191.88,455,191.32,455,187.16,455
cod105,2,123.33,101,121.38,101,122.02,101,124,101
cod105,3,169.32,431,168.6,431,168.69,431,170.57,431
cod105,4,174.66,503,175.01,503,175.91,503,175.84,503
cod105,5,129.34,105,133.27,105,129.65,105,131.27,105
comp07-2idx,1,2877.2,10045,4070.44,15273,2864.42,10045,1510.43,5275
comp07-2idx,2,2250.26,5154,4093.42,8731,2252.27,5154,4903.97,12863
comp07-2idx,3,2593.41,6411,5429.81,19021,2570.76,6411,4022.88,11564
comp07-2idx,4,4767.34,15343,4467.25,12181,3423.27,7334,4504.68,12181
comp07-2idx,5,4212.42,8029,3287.3,6162,2690.98,4865,3322.38,6162
comp21-2idx,1,7200,13979,7200,14400,7200,13490,7200,13750
comp21-2idx,2,7200,15726,7200,11619,7200,15355,7200,14482
comp21-2idx,3,7200,13881,7200,14952,7200,13692,7200,15530
comp21-2idx,4,7200,14135,7200,17390,7200,15089,7200,14477
comp21-2idx,5,7200,15260,7200,14040,7200,14339,7200,15644
cost266-UUE,1,3215.31,84431,3224.46,84431,3221.54,84431,3226.06,84431
cost266-UUE,2,3934.22,119602,3945.41,119602,3963.61,119602,3944.48,119602
cost266-UUE,3,3877.78,108586,3860.41,108586,3843.56,108586,3861.84,108586
cost266-UUE,4,3621.95,84826,3608.05,84826,3593.33,84826,3610.94,84826
cost266-UUE,5,4269.74,108305,4278.07,108305,4287.25,108305,4291.16,108305
cryptanalysiskb128n5obj14,1,2567.25,773,2366.6,661,2570.23,773,2384.94,661
